Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Merchant_Category,Payment_Method,Device_Type,Location,Is_International,Previous_Transactions,Average_Spend,Account_Age_Days,Suspicious_Keyword,Fraudulent
T100035,CUST3576,17-03-2023 09:52,132.19,Electronics,UPI,Mobile,Bengaluru,0,87,196.8,1328,No,0
T100036,CUST1493,31-07-2023 16:19,29.06,Travel,Debit Card,POS,Kolkata,0,160,58.46,950,No,0
T100037,CUST8245,01-04-2023 07:08,8.22,Health,Credit Card,Mobile,Hyderabad,0,110,95.15,928,No,0
T100038,CUST3909,23-01-2024 20:25,92.22,Utilities,Debit Card,Desktop,Kolkata,0,67,343.04,1670,No,0
T100039,CUST1360,15-11-2023 13:59,46.41,Food,Credit Card,POS,Mumbai,0,191,18.15,1874,No,0
T100040,CUST2212,20-05-2023 06:51,10.41,Utilities,NetBanking,Mobile,Chennai,1,183,442.91,1593,No,0
T100041,CUST3656,09-07-2023 03:30,54.68,Grocery,Debit Card,POS,Delhi,0,43,298.09,951,No,0
T100042,CUST3592,14-02-2023 13:13,2.8,Travel,NetBanking,Mobile,Mumbai,0,123,32.12,1100,No,0
T100043,CUST8635,28-11-2023 15:15,192.03,Entertainment,UPI,Mobile,Hyderabad,0,22,127.49,1445,No,0
T100044,CUST5983,01-02-2024 09:14,23.96,Health,Credit Card,Mobile,Bengaluru,0,87,301.16,854,No,0
T100045,CUST2739,05-09-2023 19:28,86.9,Entertainment,UPI,POS,Kolkata,0,196,27.44,1620,No,0
T100046,CUST9003,25-08-2023 11:16,29.88,Health,Credit Card,Mobile,Mumbai,0,77,392.19,1047,No,0
T100047,CUST2821,20-02-2024 11:11,58.73,Food,NetBanking,Desktop,Bengaluru,0,125,460.76,1132,No,0
T100048,CUST9659,26-08-2023 14:51,63.3,Fashion,PayPal,POS,Chennai,0,96,481,1566,No,0
T100049,CUST2346,18-09-2023 19:18,16.35,Health,Debit Card,Desktop,Hyderabad,0,122,369.49,709,No,0
T100050,CUST5035,19-06-2023 13:21,279.42,Fashion,NetBanking,Desktop,Hyderabad,0,157,429.84,1076,No,0
T100051,CUST9085,17-04-2023 07:52,119.38,Entertainment,Credit Card,POS,Kolkata,0,40,309.25,1281,No,0
T100052,CUST8966,26-02-2023 13:39,224.41,Health,Credit Card,Mobile,Delhi,0,104,234.69,467,No,0
T100053,CUST2691,13-11-2023 01:08,180.17,Food,Credit Card,Desktop,Pune,0,173,359.44,1351,No,0
T100054,CUST8792,26-12-2023 23:27,72.88,Electronics,Credit Card,POS,Hyderabad,0,119,119.85,975,No,0
T100055,CUST4298,22-01-2024 12:52,203.95,Food,Debit Card,Mobile,Mumbai,0,138,63.79,1313,Yes,0
T100056,CUST3212,13-09-2023 20:55,7.41,Food,UPI,POS,Mumbai,0,173,383.31,805,No,0
T100057,CUST7028,15-11-2023 17:01,17.45,Electronics,PayPal,POS,Mumbai,0,120,479.51,705,No,0
T100058,CUST2571,02-04-2023 13:38,3.7,Electronics,Debit Card,POS,Chennai,0,17,292.96,39,No,0
T100059,CUST5418,20-12-2023 15:31,31.48,Travel,Credit Card,Mobile,Hyderabad,0,102,246.45,1681,No,0
T100060,CUST4067,15-09-2023 21:56,39.37,Health,Debit Card,Desktop,Hyderabad,0,130,271.86,187,No,0
T100061,CUST2426,24-01-2023 00:12,25.32,Entertainment,NetBanking,Desktop,Mumbai,0,145,244.45,897,No,0
T100062,CUST9284,03-11-2023 06:55,141.16,Travel,Credit Card,POS,Kolkata,0,108,226.68,813,No,0
T100063,CUST2607,05-04-2023 16:54,35.3,Electronics,PayPal,POS,Delhi,0,90,474.05,1211,No,0
T100064,CUST3042,18-10-2023 08:06,26.38,Fashion,Credit Card,Mobile,Kolkata,0,119,245.08,349,No,0
T100065,CUST7186,15-03-2023 20:47,62.59,Entertainment,PayPal,POS,Delhi,0,166,49.74,1929,No,0
T100066,CUST3125,09-09-2023 16:36,12.15,Fashion,PayPal,POS,Hyderabad,0,165,385.1,1255,No,0
T100067,CUST4819,18-03-2023 08:53,129.64,Food,UPI,POS,Kolkata,0,63,201.87,150,No,0
T100068,CUST9580,25-04-2023 10:57,6.2,Grocery,UPI,Desktop,Hyderabad,1,5,358.24,168,No,0
T100069,CUST1147,02-08-2023 03:27,346.73,Food,Debit Card,POS,Bengaluru,0,25,293.99,703,No,0
T100070,CUST6606,04-12-2023 14:21,118.36,Food,Debit Card,Desktop,Hyderabad,0,73,359.46,1773,No,0
T100071,CUST5408,11-06-2023 14:22,17.72,Grocery,PayPal,Mobile,Kolkata,0,124,40.38,1620,No,0
T100072,CUST5894,31-08-2023 22:22,0.44,Health,Credit Card,Mobile,Mumbai,0,22,26.6,1392,No,0
T100073,CUST2246,08-08-2023 04:50,135.19,Electronics,NetBanking,Desktop,Pune,0,93,195.49,1313,No,0
T100074,CUST1724,25-05-2023 23:41,98.17,Fashion,NetBanking,Desktop,Chennai,0,191,349.65,1486,No,0
T100075,CUST7806,21-12-2023 08:54,104.45,Food,Credit Card,Desktop,Hyderabad,0,35,119.6,73,No,0
T100076,CUST7508,17-02-2024 20:42,118.02,Grocery,Credit Card,Desktop,Hyderabad,0,55,222.37,1212,No,0
T100077,CUST8906,11-08-2023 04:49,6.15,Travel,UPI,POS,Mumbai,0,128,490.6,845,No,0
T100078,CUST5054,14-09-2023 23:55,35.51,Food,NetBanking,Desktop,Bengaluru,0,20,115.29,1408,No,0
T100079,CUST3837,26-10-2023 18:15,9.85,Fashion,PayPal,Desktop,Pune,0,5,425.49,127,No,0
T100080,CUST5115,13-01-2023 03:23,159.08,Electronics,Debit Card,Desktop,Hyderabad,0,167,414.48,1591,No,0
T100081,CUST7480,09-02-2023 10:27,78.1,Food,UPI,POS,Delhi,0,63,446.76,1924,No,0
T100082,CUST6297,07-02-2024 09:51,32.15,Food,NetBanking,POS,Delhi,0,32,458.42,1763,No,0
T100083,CUST4338,05-11-2023 08:49,5.25,Health,Credit Card,POS,Delhi,0,191,258.59,1662,Yes,0
T100084,CUST8393,29-01-2023 21:17,29.8,Utilities,NetBanking,Mobile,Chennai,0,74,344.15,268,No,0
T100085,CUST3641,09-09-2023 13:55,31.47,Grocery,PayPal,POS,Chennai,0,168,313.26,504,No,0
T100086,CUST6597,25-02-2023 19:33,104.63,Travel,UPI,Desktop,Pune,0,145,161.38,553,No,0
T100087,CUST1897,02-03-2023 18:46,81.19,Travel,Credit Card,POS,Hyderabad,0,101,147.1,586,Yes,0
T100088,CUST1518,24-01-2024 00:05,174.58,Entertainment,PayPal,POS,Hyderabad,0,79,177.37,1445,Yes,1
T100089,CUST2994,16-06-2023 08:07,51.13,Electronics,Debit Card,Desktop,Hyderabad,0,160,117.04,38,No,0
T100090,CUST1456,11-10-2023 18:48,10.19,Entertainment,UPI,POS,Chennai,0,23,381.12,1566,No,0
T100091,CUST8947,26-03-2023 22:06,99.93,Fashion,PayPal,Mobile,Pune,0,188,482.64,1442,Yes,0
T100092,CUST6459,18-05-2023 22:53,114.43,Electronics,PayPal,POS,Hyderabad,0,56,435.21,1892,No,0
T100093,CUST8530,24-04-2023 01:43,65.91,Food,Credit Card,Mobile,Mumbai,0,137,116.79,1263,No,0
T100094,CUST6489,28-09-2023 06:34,117.91,Utilities,Debit Card,Mobile,Bengaluru,1,106,35.44,1107,No,1
T100095,CUST6062,09-06-2023 08:48,54.47,Food,PayPal,Mobile,Kolkata,1,69,380.98,645,No,1
T100096,CUST8011,19-06-2023 06:45,59.17,Travel,UPI,Desktop,Delhi,0,190,201.2,181,No,0
T100097,CUST6512,27-10-2023 02:52,44.63,Fashion,PayPal,POS,Delhi,0,192,414.06,439,No,0
T100098,CUST5854,21-01-2024 05:46,2.06,Grocery,NetBanking,Mobile,Mumbai,1,22,391.83,39,No,0
T100099,CUST1730,15-07-2023 22:54,9.13,Fashion,UPI,Mobile,Hyderabad,0,32,316.45,986,No,0
T100100,CUST3365,03-05-2023 11:18,2.55,Food,UPI,POS,Pune,0,175,135.12,581,No,0
T100101,CUST4125,23-03-2023 08:47,80.94,Grocery,PayPal,Desktop,Pune,0,2,60.98,585,No,0
T100102,CUST8316,16-03-2023 20:08,30.19,Fashion,Credit Card,Desktop,Chennai,0,123,133.8,909,No,0
T100103,CUST9981,12-04-2023 20:40,56.83,Utilities,UPI,Mobile,Hyderabad,0,85,259.78,297,No,0
T100104,CUST3591,11-02-2024 11:14,190.5,Utilities,NetBanking,Desktop,Pune,0,180,489.94,1043,No,0
T100105,CUST7521,24-03-2023 02:13,22.94,Fashion,Credit Card,POS,Hyderabad,0,14,41.21,1843,No,0
T100106,CUST5225,01-08-2023 15:23,42.26,Grocery,Credit Card,Desktop,Delhi,0,37,108.04,696,No,0
T100107,CUST8766,30-06-2023 03:33,112.7,Food,Credit Card,POS,Kolkata,0,27,317.37,480,No,0
T100108,CUST9026,26-11-2023 02:23,20.78,Fashion,UPI,Mobile,Kolkata,0,152,159.14,623,No,1
T100109,CUST9033,27-12-2023 06:53,6.41,Grocery,Credit Card,POS,Kolkata,0,64,430.67,1250,No,0
T100110,CUST3953,14-02-2024 08:48,27.37,Health,PayPal,Mobile,Delhi,0,70,78.31,427,No,0
T100111,CUST3617,21-02-2024 04:08,14.06,Utilities,Credit Card,POS,Chennai,0,154,481.95,950,No,0
T100112,CUST3984,10-08-2023 10:57,212.4,Health,NetBanking,POS,Kolkata,0,182,457.06,1105,No,0
T100113,CUST2479,31-08-2023 02:43,132.07,Food,Debit Card,Desktop,Delhi,0,15,444.89,1788,No,0
T100114,CUST2620,26-12-2023 11:38,80.28,Grocery,NetBanking,POS,Hyderabad,0,29,94.8,1522,No,0
T100115,CUST5219,24-09-2023 00:09,164.12,Health,UPI,Mobile,Kolkata,0,74,171.45,1421,No,0
T100116,CUST7975,18-06-2023 04:34,130.24,Grocery,Credit Card,POS,Mumbai,0,28,404.01,1427,No,0
T100117,CUST7539,28-01-2024 04:56,16.52,Fashion,Credit Card,Mobile,Chennai,0,59,405.83,1112,No,0
T100118,CUST1517,17-07-2023 13:56,178.47,Food,PayPal,Mobile,Mumbai,0,73,355.54,323,No,0
T100119,CUST8363,16-05-2023 11:23,62.01,Health,Credit Card,POS,Hyderabad,0,149,229.54,817,No,0
T100120,CUST6820,09-07-2023 18:48,131.79,Entertainment,NetBanking,Desktop,Chennai,0,10,162.68,1899,No,0
T100121,CUST8212,04-07-2023 13:41,181.14,Fashion,UPI,POS,Mumbai,0,132,481.85,1841,No,0
T100122,CUST4467,19-10-2023 20:05,30.62,Utilities,Debit Card,POS,Chennai,0,62,78.24,981,No,0
T100123,CUST2592,13-10-2023 04:56,9.33,Entertainment,Credit Card,Desktop,Hyderabad,0,132,31.44,898,No,1
T100124,CUST6576,14-11-2023 10:41,20.69,Entertainment,Debit Card,Mobile,Pune,0,127,14.47,139,No,0
T100125,CUST2528,19-06-2023 17:23,44.56,Electronics,Credit Card,POS,Kolkata,0,6,389.76,1595,No,0
T100126,CUST1719,05-05-2023 02:58,136.31,Electronics,UPI,Desktop,Chennai,0,80,37.79,136,No,0
T100127,CUST7173,25-03-2023 15:32,157.71,Food,NetBanking,Desktop,Kolkata,0,72,273.94,1042,No,0
T100128,CUST4829,15-12-2023 23:14,0.56,Health,UPI,Mobile,Kolkata,0,16,189.97,326,No,0
T100129,CUST6110,04-02-2023 21:50,57.19,Health,Debit Card,Desktop,Pune,0,38,81.98,1905,No,0
T100130,CUST5005,22-09-2023 20:59,43.22,Health,Credit Card,Mobile,Hyderabad,0,177,372.89,868,No,0
T100131,CUST6566,26-11-2023 08:03,20.09,Grocery,Debit Card,POS,Chennai,0,189,36.95,1884,No,0
T100132,CUST6348,09-01-2024 19:08,10.21,Fashion,NetBanking,Desktop,Chennai,0,65,166.01,1148,No,0
T100133,CUST3810,08-03-2023 20:01,32.95,Health,UPI,POS,Pune,0,126,285.47,1850,No,0
T100134,CUST2593,10-09-2023 11:10,229.05,Fashion,Debit Card,Desktop,Delhi,0,83,207.18,1772,No,0
T100135,CUST1395,28-02-2023 00:53,31.23,Food,Debit Card,Desktop,Pune,0,178,136.98,1014,No,0
T100136,CUST3107,23-11-2023 06:56,58.52,Entertainment,NetBanking,POS,Pune,1,17,463.74,874,No,0
T100137,CUST6424,16-06-2023 00:02,97.13,Health,Credit Card,Desktop,Pune,0,113,466.18,1737,No,0
T100138,CUST2117,11-01-2023 18:28,36.16,Food,Debit Card,POS,Hyderabad,1,156,213.89,1525,No,0
T100139,CUST5188,22-01-2023 18:03,285.42,Health,NetBanking,POS,Bengaluru,0,172,202.93,108,Yes,1
T100140,CUST1053,31-01-2024 11:21,262.56,Electronics,Credit Card,Mobile,Pune,0,140,160.62,1303,No,0
T100141,CUST8610,08-06-2023 05:21,23.2,Travel,Credit Card,POS,Chennai,0,70,429.32,759,No,1
T100142,CUST2842,23-09-2023 19:24,55.01,Food,UPI,Mobile,Mumbai,0,71,288.28,368,No,0
T100143,CUST7187,14-02-2023 01:22,28.63,Health,NetBanking,POS,Delhi,0,131,53.87,86,No,0
T100144,CUST2644,08-02-2023 07:54,26.82,Utilities,Credit Card,Desktop,Pune,0,49,428.13,949,No,0
T100145,CUST7560,29-01-2024 10:47,3.01,Travel,UPI,POS,Pune,1,21,272.09,176,No,0
T100146,CUST9228,23-10-2023 13:50,75.24,Food,PayPal,Desktop,Delhi,0,136,213.64,775,No,0
T100147,CUST6253,09-10-2023 17:52,55.88,Utilities,NetBanking,Mobile,Pune,0,64,175.55,1070,No,0
T100148,CUST1301,31-12-2023 03:06,4.23,Utilities,PayPal,Desktop,Chennai,0,187,58.72,397,No,0
T100149,CUST6382,15-01-2023 11:37,26.13,Grocery,Credit Card,POS,Bengaluru,1,158,478.78,738,No,1
T100150,CUST8606,20-10-2023 15:27,191.11,Utilities,NetBanking,Desktop,Pune,0,32,373.21,1242,No,0
T100151,CUST3106,31-10-2023 16:26,21.91,Health,UPI,Mobile,Delhi,0,20,74.57,1697,No,0
T100152,CUST1013,04-01-2023 09:48,12.52,Grocery,Credit Card,Desktop,Pune,0,16,260.52,277,No,0
T100153,CUST2851,16-11-2023 09:00,53.78,Electronics,NetBanking,Desktop,Hyderabad,0,153,282.23,179,No,0
T100154,CUST8670,11-06-2023 13:25,339.52,Health,NetBanking,POS,Chennai,1,60,92.27,743,No,0
T100155,CUST6712,09-07-2023 17:36,22.17,Entertainment,PayPal,POS,Chennai,0,173,219.34,1266,No,0
T100156,CUST1960,29-07-2023 13:16,89.21,Utilities,Credit Card,Desktop,Bengaluru,0,137,326.42,246,No,0
T100157,CUST4233,23-01-2023 13:06,114.71,Electronics,UPI,Mobile,Hyderabad,0,179,149.17,1059,No,0
T100158,CUST3430,16-08-2023 13:36,21.71,Travel,UPI,Desktop,Hyderabad,0,103,172.49,699,No,0
T100159,CUST8613,16-02-2023 22:05,104.22,Food,Credit Card,Mobile,Bengaluru,0,61,69.79,890,No,0
T100160,CUST3543,23-06-2023 15:00,36.68,Utilities,Credit Card,Mobile,Kolkata,0,168,212.49,1640,No,0
T100161,CUST3907,29-04-2023 09:04,80.04,Fashion,Debit Card,Mobile,Kolkata,0,104,296.09,1448,No,0
T100162,CUST3077,01-02-2024 19:28,80.31,Electronics,PayPal,Desktop,Mumbai,0,61,67.1,1816,Yes,1
T100163,CUST8868,15-12-2023 04:06,61.39,Fashion,Credit Card,Mobile,Kolkata,0,195,311.24,333,No,0
T100164,CUST1337,06-10-2023 21:56,7.57,Utilities,Credit Card,Desktop,Pune,0,76,204.92,1611,No,0
T100165,CUST2865,04-07-2023 10:17,144.29,Fashion,Debit Card,Mobile,Hyderabad,1,15,342.31,1464,No,0
T100166,CUST8881,02-02-2024 12:47,30.94,Utilities,Debit Card,Mobile,Mumbai,1,181,164.27,432,No,0
T100167,CUST8655,15-08-2023 16:37,16.51,Food,NetBanking,Desktop,Mumbai,0,132,288.56,1907,No,0
T100168,CUST5969,04-10-2023 03:02,3.33,Travel,UPI,POS,Chennai,0,151,310.27,889,No,1
T100169,CUST6891,15-02-2023 13:18,71.5,Food,PayPal,POS,Pune,0,155,348.35,1880,No,0
T100170,CUST7166,21-09-2023 21:20,90.55,Health,NetBanking,Desktop,Chennai,0,103,380.9,409,No,0
T100171,CUST5317,20-01-2023 12:10,1.34,Electronics,Credit Card,Desktop,Delhi,0,165,76.81,481,No,0
T100172,CUST5506,02-10-2023 11:15,57.41,Fashion,Debit Card,POS,Kolkata,0,171,482.97,1282,No,0
T100173,CUST8045,30-04-2023 00:35,20.55,Food,UPI,POS,Chennai,0,165,423.39,723,No,1
T100174,CUST5672,12-10-2023 21:01,82.89,Utilities,NetBanking,POS,Hyderabad,0,157,285.54,1558,No,0
T100175,CUST3844,07-05-2023 16:01,15.33,Food,UPI,Desktop,Hyderabad,0,157,446.28,1648,No,0
T100176,CUST9755,02-09-2023 21:45,93.94,Food,Debit Card,Mobile,Pune,0,177,197.39,174,No,0
T100177,CUST2824,17-07-2023 10:48,39.12,Electronics,NetBanking,Desktop,Mumbai,0,75,26.8,79,No,0
T100178,CUST1659,09-01-2023 10:11,220.83,Travel,NetBanking,POS,Hyderabad,0,179,366.25,1477,No,0
T100179,CUST8648,12-11-2023 10:58,11.84,Entertainment,UPI,Mobile,Kolkata,0,178,472.24,1153,No,0
T100180,CUST6557,01-09-2023 03:57,33.37,Food,Debit Card,Desktop,Chennai,0,28,89.31,372,No,0
T100181,CUST2416,03-06-2023 13:46,9.64,Electronics,Credit Card,POS,Kolkata,0,74,325.5,911,No,0
T100182,CUST9621,28-06-2023 14:31,206.9,Fashion,NetBanking,Desktop,Chennai,0,133,408.58,1785,No,0
T100183,CUST8837,04-11-2023 02:51,167.87,Utilities,Credit Card,Mobile,Pune,0,125,453.48,1704,No,0
T100184,CUST7664,09-05-2023 10:51,23.87,Health,Debit Card,POS,Kolkata,0,56,145.5,919,No,0
T100185,CUST2000,23-12-2023 09:17,86.3,Entertainment,NetBanking,Desktop,Chennai,0,64,73.08,1579,No,0
T100186,CUST4345,28-11-2023 01:11,135.96,Grocery,NetBanking,Mobile,Kolkata,1,127,131.45,1066,No,1
T100187,CUST2661,24-01-2023 20:24,64.81,Entertainment,Credit Card,Mobile,Bengaluru,0,121,293.08,1909,Yes,0
T100188,CUST3265,16-01-2024 06:25,60.34,Utilities,PayPal,Desktop,Pune,0,89,460.18,791,No,0
T100189,CUST5718,14-06-2023 01:44,22.15,Entertainment,Credit Card,Mobile,Pune,0,17,295.44,877,No,0
T100190,CUST6128,23-08-2023 22:40,7.82,Utilities,Credit Card,POS,Hyderabad,0,97,460.61,953,Yes,0
T100191,CUST6586,19-10-2023 08:09,182.01,Electronics,PayPal,Mobile,Pune,0,55,387.32,1225,No,0
T100192,CUST5130,08-11-2023 11:38,184.54,Grocery,Debit Card,Desktop,Delhi,0,137,303.21,1542,No,0
T100193,CUST8087,25-07-2023 23:48,80.21,Food,Debit Card,POS,Hyderabad,0,196,20.68,1884,No,0
T100194,CUST2015,11-02-2024 01:55,33.12,Food,NetBanking,Mobile,Hyderabad,0,110,173.21,1412,No,0
T100195,CUST4220,19-02-2023 01:58,34.37,Entertainment,UPI,Mobile,Kolkata,0,16,38.16,1159,No,0
T100196,CUST4645,01-12-2023 22:40,103.56,Electronics,UPI,POS,Bengaluru,0,144,167.9,218,No,0
T100197,CUST4509,24-11-2023 09:14,181.93,Grocery,NetBanking,POS,Hyderabad,0,13,40.54,1582,No,0
T100198,CUST8746,12-02-2023 02:33,174.49,Food,UPI,Mobile,Mumbai,0,78,92.23,1103,Yes,1
T100199,CUST7751,13-01-2023 18:21,121.08,Fashion,Credit Card,POS,Chennai,1,85,211.24,1302,Yes,1
T100200,CUST3184,10-08-2023 02:10,82.18,Travel,Credit Card,Desktop,Chennai,0,73,262.29,439,No,0
T100201,CUST9448,25-03-2023 17:01,7.03,Travel,PayPal,Mobile,Pune,0,191,116.4,1444,No,0
T100202,CUST4394,05-05-2023 06:21,14.1,Food,PayPal,Desktop,Kolkata,0,119,368.96,1432,No,0
T100203,CUST4397,03-07-2023 05:52,183.06,Grocery,NetBanking,Mobile,Bengaluru,0,169,299.28,256,No,0
T100204,CUST6414,12-12-2023 10:25,74.6,Health,NetBanking,Desktop,Chennai,0,181,348.96,1644,No,0
T100205,CUST2097,21-10-2023 13:19,0.74,Food,NetBanking,Desktop,Mumbai,0,68,369.06,1837,No,0
T100206,CUST1275,11-11-2023 06:37,8.56,Health,Credit Card,POS,Bengaluru,0,74,366.19,242,No,0
T100207,CUST8197,03-12-2023 13:56,87.13,Health,UPI,Mobile,Delhi,1,99,468.75,1582,No,0
T100208,CUST8499,03-07-2023 14:07,0.41,Utilities,NetBanking,POS,Chennai,0,117,126.24,1034,No,0
T100209,CUST3856,30-11-2023 20:33,14.03,Utilities,NetBanking,POS,Hyderabad,0,137,142.38,1399,No,0
T100210,CUST5517,09-10-2023 15:20,63.66,Grocery,Credit Card,Mobile,Mumbai,0,179,56.16,448,No,0
T100211,CUST4511,11-05-2023 10:36,94.19,Health,Credit Card,Desktop,Kolkata,0,176,300.37,1816,No,0
T100212,CUST7566,02-05-2023 11:31,84.44,Fashion,Credit Card,Mobile,Kolkata,0,177,203.64,1905,No,0
T100213,CUST2864,02-09-2023 01:03,20.32,Grocery,UPI,Mobile,Mumbai,0,146,253.14,1137,No,1
T100214,CUST2359,11-10-2023 00:14,99.63,Food,NetBanking,Mobile,Chennai,0,138,93.21,948,No,0
T100215,CUST7358,16-09-2023 19:44,21.67,Entertainment,Debit Card,POS,Pune,1,115,328.04,1250,No,1
T100216,CUST2591,09-08-2023 13:06,31.49,Fashion,Debit Card,Mobile,Delhi,0,54,313.32,806,No,0
T100217,CUST7815,03-02-2024 15:02,109.79,Electronics,NetBanking,Mobile,Hyderabad,0,79,139.74,1583,No,0
T100218,CUST9660,08-02-2023 06:41,83.9,Travel,NetBanking,Mobile,Delhi,0,15,238.05,250,No,0
T100219,CUST7898,14-02-2023 16:32,151.36,Food,NetBanking,Desktop,Delhi,0,139,448.21,1896,No,0
T100220,CUST4229,08-01-2024 08:00,85.75,Food,NetBanking,Desktop,Chennai,0,168,389.01,1800,No,0
T100221,CUST5860,17-11-2023 13:52,67.2,Food,UPI,Desktop,Hyderabad,0,118,121.2,205,No,0
T100222,CUST8215,25-03-2023 07:28,7.87,Fashion,Debit Card,Desktop,Chennai,0,112,440.64,613,No,0
T100223,CUST3148,14-01-2023 20:42,36.67,Electronics,PayPal,POS,Chennai,0,106,42.98,1656,No,0
T100224,CUST5486,06-12-2023 06:28,24.65,Entertainment,Debit Card,POS,Pune,0,105,212.82,1375,No,0
T100225,CUST6535,05-07-2023 03:15,22.38,Grocery,Debit Card,Mobile,Mumbai,0,47,49.26,564,Yes,0
T100226,CUST7532,11-07-2023 19:51,288.98,Utilities,Credit Card,POS,Kolkata,0,118,462.86,754,No,0
T100227,CUST7168,09-10-2023 16:14,39.95,Electronics,NetBanking,Desktop,Pune,0,126,29.94,1447,No,0
T100228,CUST6111,17-11-2023 18:12,178.08,Fashion,NetBanking,Mobile,Kolkata,0,148,84.11,1859,No,0
T100229,CUST4828,03-07-2023 16:16,79.79,Food,NetBanking,Mobile,Pune,0,98,458.37,1693,No,0
T100230,CUST1325,02-05-2023 14:52,126.71,Travel,Credit Card,Desktop,Chennai,0,150,295.26,1624,No,0
