Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Merchant_Category,Payment_Method,Device_Type,Location,Is_International,Previous_Transactions,Average_Spend,Account_Age_Days,Suspicious_Keyword,Fraudulent,Hour,Day
T100024,CUST7223,2023-08-12 04:50:00,48.71,4,1,2,1,0,29,33.3,494,0,0,4,Saturday
T100025,CUST3347,2023-11-08 02:26:00,123.03,0,0,0,1,0,183,364.56,1429,0,0,2,Wednesday
T100026,CUST9119,2023-02-24 09:47:00,17.82,1,4,0,1,0,170,338.47,753,0,0,9,Friday
T100027,CUST8120,2023-11-11 19:01:00,57.76,6,3,1,2,0,160,190.97,37,0,0,19,Saturday
T100028,CUST4506,2023-07-23 02:04:00,71.8,4,4,2,2,0,142,211.53,1749,0,0,2,Sunday
T100029,CUST7707,2023-05-19 15:59:00,3.81,5,1,2,0,0,18,459.7,193,0,0,15,Friday
T100030,CUST2161,2023-01-18 12:48:00,74.83,0,0,2,3,0,38,16.44,810,0,0,12,Wednesday
T100031,CUST1325,2024-01-31 03:23:00,14.96,3,1,1,2,0,101,286.02,1348,0,0,3,Wednesday
T100032,CUST3979,2023-10-11 01:37:00,5.38,4,4,1,5,0,34,462.45,387,1,1,1,Wednesday
T100033,CUST5190,2023-12-04 17:57:00,237.9,7,1,0,4,0,121,457.85,110,0,0,17,Monday
T100034,CUST3166,2023-10-20 22:48:00,269.65,4,2,2,6,0,173,296.48,803,0,0,22,Friday
T100035,CUST3576,2023-03-17 09:52:00,132.19,0,4,1,0,0,87,196.8,1328,0,0,9,Friday
T100036,CUST1493,2023-07-31 16:19:00,29.06,6,1,2,4,0,160,58.46,950,0,0,16,Monday
T100037,CUST8245,2023-04-01 07:08:00,8.22,5,0,1,3,0,110,95.15,928,0,0,7,Saturday
T100038,CUST3909,2024-01-23 20:25:00,92.22,7,1,0,4,0,67,343.04,1670,0,0,20,Tuesday
T100039,CUST1360,2023-11-15 13:59:00,46.41,3,0,2,5,0,191,18.15,1874,0,0,13,Wednesday
T100040,CUST2212,2023-05-20 06:51:00,10.41,7,2,1,1,1,183,442.91,1593,0,0,6,Saturday
T100041,CUST3656,2023-07-09 03:30:00,54.68,4,1,2,2,0,43,298.09,951,0,0,3,Sunday
T100042,CUST3592,2023-02-14 13:13:00,2.8,6,2,1,5,0,123,32.12,1100,0,0,13,Tuesday
T100043,CUST8635,2023-11-28 15:15:00,192.03,1,4,1,3,0,22,127.49,1445,0,0,15,Tuesday
T100044,CUST5983,2024-02-01 09:14:00,23.96,5,0,1,0,0,87,301.16,854,0,0,9,Thursday
T100045,CUST2739,2023-09-05 19:28:00,86.9,1,4,2,4,0,196,27.44,1620,0,0,19,Tuesday
T100046,CUST9003,2023-08-25 11:16:00,29.88,5,0,1,5,0,77,392.19,1047,0,0,11,Friday
T100047,CUST2821,2024-02-20 11:11:00,58.73,3,2,0,0,0,125,460.76,1132,0,0,11,Tuesday
T100048,CUST9659,2023-08-26 14:51:00,63.3,2,3,2,1,0,96,481.0,1566,0,0,14,Saturday
T100049,CUST2346,2023-09-18 19:18:00,16.35,5,1,0,3,0,122,369.49,709,0,0,19,Monday
T100050,CUST5035,2023-06-19 13:21:00,279.42,2,2,0,3,0,157,429.84,1076,0,0,13,Monday
T100051,CUST9085,2023-04-17 07:52:00,119.38,1,0,2,4,0,40,309.25,1281,0,0,7,Monday
T100052,CUST8966,2023-02-26 13:39:00,224.41,5,0,1,2,0,104,234.69,467,0,0,13,Sunday
T100053,CUST2691,2023-11-13 01:08:00,180.17,3,0,0,6,0,173,359.44,1351,0,0,1,Monday
T100054,CUST8792,2023-12-26 23:27:00,72.88,0,0,2,3,0,119,119.85,975,0,0,23,Tuesday
T100055,CUST4298,2024-01-22 12:52:00,203.95,3,1,1,5,0,138,63.79,1313,1,0,12,Monday
T100056,CUST3212,2023-09-13 20:55:00,7.41,3,4,2,5,0,173,383.31,805,0,0,20,Wednesday
T100057,CUST7028,2023-11-15 17:01:00,17.45,0,3,2,5,0,120,479.51,705,0,0,17,Wednesday
T100058,CUST2571,2023-04-02 13:38:00,3.7,0,1,2,1,0,17,292.96,39,0,0,13,Sunday
T100059,CUST5418,2023-12-20 15:31:00,31.48,6,0,1,3,0,102,246.45,1681,0,0,15,Wednesday
T100060,CUST4067,2023-09-15 21:56:00,39.37,5,1,0,3,0,130,271.86,187,0,0,21,Friday
T100061,CUST2426,2023-01-24 00:12:00,25.32,1,2,0,5,0,145,244.45,897,0,0,0,Tuesday
T100062,CUST9284,2023-11-03 06:55:00,141.16,6,0,2,4,0,108,226.68,813,0,0,6,Friday
T100063,CUST2607,2023-04-05 16:54:00,35.3,0,3,2,2,0,90,474.05,1211,0,0,16,Wednesday
T100064,CUST3042,2023-10-18 08:06:00,26.38,2,0,1,4,0,119,245.08,349,0,0,8,Wednesday
T100065,CUST7186,2023-03-15 20:47:00,62.59,1,3,2,2,0,166,49.74,1929,0,0,20,Wednesday
T100066,CUST3125,2023-09-09 16:36:00,12.15,2,3,2,3,0,165,385.1,1255,0,0,16,Saturday
T100067,CUST4819,2023-03-18 08:53:00,129.64,3,4,2,4,0,63,201.87,150,0,0,8,Saturday
T100068,CUST9580,2023-04-25 10:57:00,6.2,4,4,0,3,1,5,358.24,168,0,0,10,Tuesday
T100069,CUST1147,2023-08-02 03:27:00,346.73,3,1,2,0,0,25,293.99,703,0,0,3,Wednesday
T100070,CUST6606,2023-12-04 14:21:00,118.36,3,1,0,3,0,73,359.46,1773,0,0,14,Monday
T100071,CUST5408,2023-06-11 14:22:00,17.72,4,3,1,4,0,124,40.38,1620,0,0,14,Sunday
T100072,CUST5894,2023-08-31 22:22:00,0.44,5,0,1,5,0,22,26.6,1392,0,0,22,Thursday
T100073,CUST2246,2023-08-08 04:50:00,135.19,0,2,0,6,0,93,195.49,1313,0,0,4,Tuesday
T100074,CUST1724,2023-05-25 23:41:00,98.17,2,2,0,1,0,191,349.65,1486,0,0,23,Thursday
T100075,CUST7806,2023-12-21 08:54:00,104.45,3,0,0,3,0,35,119.6,73,0,0,8,Thursday
T100076,CUST7508,2024-02-17 20:42:00,118.02,4,0,0,3,0,55,222.37,1212,0,0,20,Saturday
T100077,CUST8906,2023-08-11 04:49:00,6.15,6,4,2,5,0,128,490.6,845,0,0,4,Friday
T100078,CUST5054,2023-09-14 23:55:00,35.51,3,2,0,0,0,20,115.29,1408,0,0,23,Thursday
T100079,CUST3837,2023-10-26 18:15:00,9.85,2,3,0,6,0,5,425.49,127,0,0,18,Thursday
T100080,CUST5115,2023-01-13 03:23:00,159.08,0,1,0,3,0,167,414.48,1591,0,0,3,Friday
T100081,CUST7480,2023-02-09 10:27:00,78.1,3,4,2,2,0,63,446.76,1924,0,0,10,Thursday
T100082,CUST6297,2024-02-07 09:51:00,32.15,3,2,2,2,0,32,458.42,1763,0,0,9,Wednesday
T100083,CUST4338,2023-11-05 08:49:00,5.25,5,0,2,2,0,191,258.59,1662,1,0,8,Sunday
T100084,CUST8393,2023-01-29 21:17:00,29.8,7,2,1,1,0,74,344.15,268,0,0,21,Sunday
T100085,CUST3641,2023-09-09 13:55:00,31.47,4,3,2,1,0,168,313.26,504,0,0,13,Saturday
T100086,CUST6597,2023-02-25 19:33:00,104.63,6,4,0,6,0,145,161.38,553,0,0,19,Saturday
T100087,CUST1897,2023-03-02 18:46:00,81.19,6,0,2,3,0,101,147.1,586,1,0,18,Thursday
T100088,CUST1518,2024-01-24 00:05:00,174.58,1,3,2,3,0,79,177.37,1445,1,1,0,Wednesday
T100089,CUST2994,2023-06-16 08:07:00,51.13,0,1,0,3,0,160,117.04,38,0,0,8,Friday
T100090,CUST1456,2023-10-11 18:48:00,10.19,1,4,2,1,0,23,381.12,1566,0,0,18,Wednesday
T100091,CUST8947,2023-03-26 22:06:00,99.93,2,3,1,6,0,188,482.64,1442,1,0,22,Sunday
T100092,CUST6459,2023-05-18 22:53:00,114.43,0,3,2,3,0,56,435.21,1892,0,0,22,Thursday
T100093,CUST8530,2023-04-24 01:43:00,65.91,3,0,1,5,0,137,116.79,1263,0,0,1,Monday
T100094,CUST6489,2023-09-28 06:34:00,117.91,7,1,1,0,1,106,35.44,1107,0,1,6,Thursday
T100095,CUST6062,2023-06-09 08:48:00,54.47,3,3,1,4,1,69,380.98,645,0,1,8,Friday
T100096,CUST8011,2023-06-19 06:45:00,59.17,6,4,0,2,0,190,201.2,181,0,0,6,Monday
T100097,CUST6512,2023-10-27 02:52:00,44.63,2,3,2,2,0,192,414.06,439,0,0,2,Friday
T100098,CUST5854,2024-01-21 05:46:00,2.06,4,2,1,5,1,22,391.83,39,0,0,5,Sunday
T100099,CUST1730,2023-07-15 22:54:00,9.13,2,4,1,3,0,32,316.45,986,0,0,22,Saturday
T100100,CUST3365,2023-05-03 11:18:00,2.55,3,4,2,6,0,175,135.12,581,0,0,11,Wednesday
T100101,CUST4125,2023-03-23 08:47:00,80.94,4,3,0,6,0,2,60.98,585,0,0,8,Thursday
T100102,CUST8316,2023-03-16 20:08:00,30.19,2,0,0,1,0,123,133.8,909,0,0,20,Thursday
T100103,CUST9981,2023-04-12 20:40:00,56.83,7,4,1,3,0,85,259.78,297,0,0,20,Wednesday
T100104,CUST3591,2024-02-11 11:14:00,190.5,7,2,0,6,0,180,489.94,1043,0,0,11,Sunday
T100105,CUST7521,2023-03-24 02:13:00,22.94,2,0,2,3,0,14,41.21,1843,0,0,2,Friday
T100106,CUST5225,2023-08-01 15:23:00,42.26,4,0,0,2,0,37,108.04,696,0,0,15,Tuesday
T100107,CUST8766,2023-06-30 03:33:00,112.7,3,0,2,4,0,27,317.37,480,0,0,3,Friday
T100108,CUST9026,2023-11-26 02:23:00,20.78,2,4,1,4,0,152,159.14,623,0,1,2,Sunday
T100109,CUST9033,2023-12-27 06:53:00,6.41,4,0,2,4,0,64,430.67,1250,0,0,6,Wednesday
T100110,CUST3953,2024-02-14 08:48:00,27.37,5,3,1,2,0,70,78.31,427,0,0,8,Wednesday
T100111,CUST3617,2024-02-21 04:08:00,14.06,7,0,2,1,0,154,481.95,950,0,0,4,Wednesday
T100112,CUST3984,2023-08-10 10:57:00,212.4,5,2,2,4,0,182,457.06,1105,0,0,10,Thursday
T100113,CUST2479,2023-08-31 02:43:00,132.07,3,1,0,2,0,15,444.89,1788,0,0,2,Thursday
T100114,CUST2620,2023-12-26 11:38:00,80.28,4,2,2,3,0,29,94.8,1522,0,0,11,Tuesday
T100115,CUST5219,2023-09-24 00:09:00,164.12,5,4,1,4,0,74,171.45,1421,0,0,0,Sunday
T100116,CUST7975,2023-06-18 04:34:00,130.24,4,0,2,5,0,28,404.01,1427,0,0,4,Sunday
T100117,CUST7539,2024-01-28 04:56:00,16.52,2,0,1,1,0,59,405.83,1112,0,0,4,Sunday
T100118,CUST1517,2023-07-17 13:56:00,178.47,3,3,1,5,0,73,355.54,323,0,0,13,Monday
T100119,CUST8363,2023-05-16 11:23:00,62.01,5,0,2,3,0,149,229.54,817,0,0,11,Tuesday
T100120,CUST6820,2023-07-09 18:48:00,131.79,1,2,0,1,0,10,162.68,1899,0,0,18,Sunday
T100121,CUST8212,2023-07-04 13:41:00,181.14,2,4,2,5,0,132,481.85,1841,0,0,13,Tuesday
T100122,CUST4467,2023-10-19 20:05:00,30.62,7,1,2,1,0,62,78.24,981,0,0,20,Thursday
T100123,CUST2592,2023-10-13 04:56:00,9.33,1,0,0,3,0,132,31.44,898,0,1,4,Friday
T100124,CUST6576,2023-11-14 10:41:00,20.69,1,1,1,6,0,127,14.47,139,0,0,10,Tuesday
T100125,CUST2528,2023-06-19 17:23:00,44.56,0,0,2,4,0,6,389.76,1595,0,0,17,Monday
T100126,CUST1719,2023-05-05 02:58:00,136.31,0,4,0,1,0,80,37.79,136,0,0,2,Friday
T100127,CUST7173,2023-03-25 15:32:00,157.71,3,2,0,4,0,72,273.94,1042,0,0,15,Saturday
T100128,CUST4829,2023-12-15 23:14:00,0.56,5,4,1,4,0,16,189.97,326,0,0,23,Friday
T100129,CUST6110,2023-02-04 21:50:00,57.19,5,1,0,6,0,38,81.98,1905,0,0,21,Saturday
T100130,CUST5005,2023-09-22 20:59:00,43.22,5,0,1,3,0,177,372.89,868,0,0,20,Friday
T100131,CUST6566,2023-11-26 08:03:00,20.09,4,1,2,1,0,189,36.95,1884,0,0,8,Sunday
T100132,CUST6348,2024-01-09 19:08:00,10.21,2,2,0,1,0,65,166.01,1148,0,0,19,Tuesday
T100133,CUST3810,2023-03-08 20:01:00,32.95,5,4,2,6,0,126,285.47,1850,0,0,20,Wednesday
T100134,CUST2593,2023-09-10 11:10:00,229.05,2,1,0,2,0,83,207.18,1772,0,0,11,Sunday
T100135,CUST1395,2023-02-28 00:53:00,31.23,3,1,0,6,0,178,136.98,1014,0,0,0,Tuesday
T100136,CUST3107,2023-11-23 06:56:00,58.52,1,2,2,6,1,17,463.74,874,0,0,6,Thursday
T100137,CUST6424,2023-06-16 00:02:00,97.13,5,0,0,6,0,113,466.18,1737,0,0,0,Friday
T100138,CUST2117,2023-01-11 18:28:00,36.16,3,1,2,3,1,156,213.89,1525,0,0,18,Wednesday
T100139,CUST5188,2023-01-22 18:03:00,285.42,5,2,2,0,0,172,202.93,108,1,1,18,Sunday
T100140,CUST1053,2024-01-31 11:21:00,262.56,0,0,1,6,0,140,160.62,1303,0,0,11,Wednesday
T100141,CUST8610,2023-06-08 05:21:00,23.2,6,0,2,1,0,70,429.32,759,0,1,5,Thursday
T100142,CUST2842,2023-09-23 19:24:00,55.01,3,4,1,5,0,71,288.28,368,0,0,19,Saturday
T100143,CUST7187,2023-02-14 01:22:00,28.63,5,2,2,2,0,131,53.87,86,0,0,1,Tuesday
T100144,CUST2644,2023-02-08 07:54:00,26.82,7,0,0,6,0,49,428.13,949,0,0,7,Wednesday
T100145,CUST7560,2024-01-29 10:47:00,3.01,6,4,2,6,1,21,272.09,176,0,0,10,Monday
T100146,CUST9228,2023-10-23 13:50:00,75.24,3,3,0,2,0,136,213.64,775,0,0,13,Monday
T100147,CUST6253,2023-10-09 17:52:00,55.88,7,2,1,6,0,64,175.55,1070,0,0,17,Monday
T100148,CUST1301,2023-12-31 03:06:00,4.23,7,3,0,1,0,187,58.72,397,0,0,3,Sunday
T100149,CUST6382,2023-01-15 11:37:00,26.13,4,0,2,0,1,158,478.78,738,0,1,11,Sunday
T100150,CUST8606,2023-10-20 15:27:00,191.11,7,2,0,6,0,32,373.21,1242,0,0,15,Friday
T100151,CUST3106,2023-10-31 16:26:00,21.91,5,4,1,2,0,20,74.57,1697,0,0,16,Tuesday
T100152,CUST1013,2023-01-04 09:48:00,12.52,4,0,0,6,0,16,260.52,277,0,0,9,Wednesday
T100153,CUST2851,2023-11-16 09:00:00,53.78,0,2,0,3,0,153,282.23,179,0,0,9,Thursday
T100154,CUST8670,2023-06-11 13:25:00,339.52,5,2,2,1,1,60,92.27,743,0,0,13,Sunday
T100155,CUST6712,2023-07-09 17:36:00,22.17,1,3,2,1,0,173,219.34,1266,0,0,17,Sunday
T100156,CUST1960,2023-07-29 13:16:00,89.21,7,0,0,0,0,137,326.42,246,0,0,13,Saturday
T100157,CUST4233,2023-01-23 13:06:00,114.71,0,4,1,3,0,179,149.17,1059,0,0,13,Monday
T100158,CUST3430,2023-08-16 13:36:00,21.71,6,4,0,3,0,103,172.49,699,0,0,13,Wednesday
T100159,CUST8613,2023-02-16 22:05:00,104.22,3,0,1,0,0,61,69.79,890,0,0,22,Thursday
T100160,CUST3543,2023-06-23 15:00:00,36.68,7,0,1,4,0,168,212.49,1640,0,0,15,Friday
T100161,CUST3907,2023-04-29 09:04:00,80.04,2,1,1,4,0,104,296.09,1448,0,0,9,Saturday
T100162,CUST3077,2024-02-01 19:28:00,80.31,0,3,0,5,0,61,67.1,1816,1,1,19,Thursday
T100163,CUST8868,2023-12-15 04:06:00,61.39,2,0,1,4,0,195,311.24,333,0,0,4,Friday
T100164,CUST1337,2023-10-06 21:56:00,7.57,7,0,0,6,0,76,204.92,1611,0,0,21,Friday
T100165,CUST2865,2023-07-04 10:17:00,144.29,2,1,1,3,1,15,342.31,1464,0,0,10,Tuesday
T100166,CUST8881,2024-02-02 12:47:00,30.94,7,1,1,5,1,181,164.27,432,0,0,12,Friday
T100167,CUST8655,2023-08-15 16:37:00,16.51,3,2,0,5,0,132,288.56,1907,0,0,16,Tuesday
T100168,CUST5969,2023-10-04 03:02:00,3.33,6,4,2,1,0,151,310.27,889,0,1,3,Wednesday
T100169,CUST6891,2023-02-15 13:18:00,71.5,3,3,2,6,0,155,348.35,1880,0,0,13,Wednesday
T100170,CUST7166,2023-09-21 21:20:00,90.55,5,2,0,1,0,103,380.9,409,0,0,21,Thursday
T100171,CUST5317,2023-01-20 12:10:00,1.34,0,0,0,2,0,165,76.81,481,0,0,12,Friday
T100172,CUST5506,2023-10-02 11:15:00,57.41,2,1,2,4,0,171,482.97,1282,0,0,11,Monday
T100173,CUST8045,2023-04-30 00:35:00,20.55,3,4,2,1,0,165,423.39,723,0,1,0,Sunday
T100174,CUST5672,2023-10-12 21:01:00,82.89,7,2,2,3,0,157,285.54,1558,0,0,21,Thursday
T100175,CUST3844,2023-05-07 16:01:00,15.33,3,4,0,3,0,157,446.28,1648,0,0,16,Sunday
T100176,CUST9755,2023-09-02 21:45:00,93.94,3,1,1,6,0,177,197.39,174,0,0,21,Saturday
T100177,CUST2824,2023-07-17 10:48:00,39.12,0,2,0,5,0,75,26.8,79,0,0,10,Monday
T100178,CUST1659,2023-01-09 10:11:00,220.83,6,2,2,3,0,179,366.25,1477,0,0,10,Monday
T100179,CUST8648,2023-11-12 10:58:00,11.84,1,4,1,4,0,178,472.24,1153,0,0,10,Sunday
T100180,CUST6557,2023-09-01 03:57:00,33.37,3,1,0,1,0,28,89.31,372,0,0,3,Friday
T100181,CUST2416,2023-06-03 13:46:00,9.64,0,0,2,4,0,74,325.5,911,0,0,13,Saturday
T100182,CUST9621,2023-06-28 14:31:00,206.9,2,2,0,1,0,133,408.58,1785,0,0,14,Wednesday
T100183,CUST8837,2023-11-04 02:51:00,167.87,7,0,1,6,0,125,453.48,1704,0,0,2,Saturday
T100184,CUST7664,2023-05-09 10:51:00,23.87,5,1,2,4,0,56,145.5,919,0,0,10,Tuesday
T100185,CUST2000,2023-12-23 09:17:00,86.3,1,2,0,1,0,64,73.08,1579,0,0,9,Saturday
T100186,CUST4345,2023-11-28 01:11:00,135.96,4,2,1,4,1,127,131.45,1066,0,1,1,Tuesday
T100187,CUST2661,2023-01-24 20:24:00,64.81,1,0,1,0,0,121,293.08,1909,1,0,20,Tuesday
T100188,CUST3265,2024-01-16 06:25:00,60.34,7,3,0,6,0,89,460.18,791,0,0,6,Tuesday
T100189,CUST5718,2023-06-14 01:44:00,22.15,1,0,1,6,0,17,295.44,877,0,0,1,Wednesday
T100190,CUST6128,2023-08-23 22:40:00,7.82,7,0,2,3,0,97,460.61,953,1,0,22,Wednesday
T100191,CUST6586,2023-10-19 08:09:00,182.01,0,3,1,6,0,55,387.32,1225,0,0,8,Thursday
T100192,CUST5130,2023-11-08 11:38:00,184.54,4,1,0,2,0,137,303.21,1542,0,0,11,Wednesday
T100193,CUST8087,2023-07-25 23:48:00,80.21,3,1,2,3,0,196,20.68,1884,0,0,23,Tuesday
T100194,CUST2015,2024-02-11 01:55:00,33.12,3,2,1,3,0,110,173.21,1412,0,0,1,Sunday
T100195,CUST4220,2023-02-19 01:58:00,34.37,1,4,1,4,0,16,38.16,1159,0,0,1,Sunday
T100196,CUST4645,2023-12-01 22:40:00,103.56,0,4,2,0,0,144,167.9,218,0,0,22,Friday
T100197,CUST4509,2023-11-24 09:14:00,181.93,4,2,2,3,0,13,40.54,1582,0,0,9,Friday
T100198,CUST8746,2023-02-12 02:33:00,174.49,3,4,1,5,0,78,92.23,1103,1,1,2,Sunday
T100199,CUST7751,2023-01-13 18:21:00,121.08,2,0,2,1,1,85,211.24,1302,1,1,18,Friday
T100200,CUST3184,2023-08-10 02:10:00,82.18,6,0,0,1,0,73,262.29,439,0,0,2,Thursday
T100201,CUST9448,2023-03-25 17:01:00,7.03,6,3,1,6,0,191,116.4,1444,0,0,17,Saturday
T100202,CUST4394,2023-05-05 06:21:00,14.1,3,3,0,4,0,119,368.96,1432,0,0,6,Friday
T100203,CUST4397,2023-07-03 05:52:00,183.06,4,2,1,0,0,169,299.28,256,0,0,5,Monday
T100204,CUST6414,2023-12-12 10:25:00,74.6,5,2,0,1,0,181,348.96,1644,0,0,10,Tuesday
T100205,CUST2097,2023-10-21 13:19:00,0.74,3,2,0,5,0,68,369.06,1837,0,0,13,Saturday
T100206,CUST1275,2023-11-11 06:37:00,8.56,5,0,2,0,0,74,366.19,242,0,0,6,Saturday
T100207,CUST8197,2023-12-03 13:56:00,87.13,5,4,1,2,1,99,468.75,1582,0,0,13,Sunday
T100208,CUST8499,2023-07-03 14:07:00,0.41,7,2,2,1,0,117,126.24,1034,0,0,14,Monday
T100209,CUST3856,2023-11-30 20:33:00,14.03,7,2,2,3,0,137,142.38,1399,0,0,20,Thursday
T100210,CUST5517,2023-10-09 15:20:00,63.66,4,0,1,5,0,179,56.16,448,0,0,15,Monday
T100211,CUST4511,2023-05-11 10:36:00,94.19,5,0,0,4,0,176,300.37,1816,0,0,10,Thursday
T100212,CUST7566,2023-05-02 11:31:00,84.44,2,0,1,4,0,177,203.64,1905,0,0,11,Tuesday
T100213,CUST2864,2023-09-02 01:03:00,20.32,4,4,1,5,0,146,253.14,1137,0,1,1,Saturday
T100214,CUST2359,2023-10-11 00:14:00,99.63,3,2,1,1,0,138,93.21,948,0,0,0,Wednesday
T100215,CUST7358,2023-09-16 19:44:00,21.67,1,1,2,6,1,115,328.04,1250,0,1,19,Saturday
T100216,CUST2591,2023-08-09 13:06:00,31.49,2,1,1,2,0,54,313.32,806,0,0,13,Wednesday
T100217,CUST7815,2024-02-03 15:02:00,109.79,0,2,1,3,0,79,139.74,1583,0,0,15,Saturday
T100218,CUST9660,2023-02-08 06:41:00,83.9,6,2,1,2,0,15,238.05,250,0,0,6,Wednesday
T100219,CUST7898,2023-02-14 16:32:00,151.36,3,2,0,2,0,139,448.21,1896,0,0,16,Tuesday
T100220,CUST4229,2024-01-08 08:00:00,85.75,3,2,0,1,0,168,389.01,1800,0,0,8,Monday
T100221,CUST5860,2023-11-17 13:52:00,67.2,3,4,0,3,0,118,121.2,205,0,0,13,Friday
T100222,CUST8215,2023-03-25 07:28:00,7.87,2,1,0,1,0,112,440.64,613,0,0,7,Saturday
T100223,CUST3148,2023-01-14 20:42:00,36.67,0,3,2,1,0,106,42.98,1656,0,0,20,Saturday
T100224,CUST5486,2023-12-06 06:28:00,24.65,1,1,2,6,0,105,212.82,1375,0,0,6,Wednesday
T100225,CUST6535,2023-07-05 03:15:00,22.38,4,1,1,5,0,47,49.26,564,1,0,3,Wednesday
T100226,CUST7532,2023-07-11 19:51:00,288.98,7,0,2,4,0,118,462.86,754,0,0,19,Tuesday
T100227,CUST7168,2023-10-09 16:14:00,39.95,0,2,0,6,0,126,29.94,1447,0,0,16,Monday
T100228,CUST6111,2023-11-17 18:12:00,178.08,2,2,1,4,0,148,84.11,1859,0,0,18,Friday
T100229,CUST4828,2023-07-03 16:16:00,79.79,3,2,1,6,0,98,458.37,1693,0,0,16,Monday
T100230,CUST1325,2023-05-02 14:52:00,126.71,6,0,0,1,0,150,295.26,1624,0,0,14,Tuesday
T100231,CUST6576,2023-06-12 19:55:00,55.87,3,4,0,6,0,48,399.64,353,0,0,19,Monday
T100232,CUST8641,2023-06-20 00:47:00,68.81,4,4,0,4,1,82,18.04,114,0,1,0,Tuesday
T100233,CUST1503,2023-05-01 19:45:00,54.26,5,3,2,6,0,16,215.36,1049,0,0,19,Monday
T100234,CUST4462,2023-12-05 10:19:00,17.38,6,4,1,0,0,133,492.39,1794,0,0,10,Tuesday
T100235,CUST1110,2023-10-15 03:02:00,102.54,3,4,0,3,0,193,294.11,916,0,0,3,Sunday
T100236,CUST7848,2023-04-28 23:44:00,26.37,1,2,1,5,0,74,426.34,1480,0,0,23,Friday
T100237,CUST6375,2023-07-14 22:25:00,1.97,6,1,1,4,0,21,482.14,1321,0,0,22,Friday
T100238,CUST6255,2023-08-06 10:36:00,82.96,5,4,2,3,0,61,345.67,141,0,0,10,Sunday
T100239,CUST3364,2024-02-02 06:25:00,15.59,7,4,1,5,0,183,170.54,657,0,0,6,Friday
T100240,CUST2663,2023-09-22 03:58:00,225.69,0,0,0,0,0,24,161.22,978,0,0,3,Friday
T100241,CUST7253,2023-12-26 18:57:00,246.2,2,3,0,1,0,23,44.93,779,0,0,18,Tuesday
T100242,CUST8521,2023-10-17 00:47:00,197.08,7,0,1,4,0,87,219.61,1451,0,1,0,Tuesday
